date,TB_M3
20031029,0.94
20031030,0.94
20031031,0.94
20031103,0.94
20031104,0.93
20031105,0.94
20031106,0.94
20031107,0.94
20031110,0.95
20031111,
20031112,0.93
20031113,0.92
20031114,0.93
20031117,0.94
20031118,0.94
20031119,0.93
20031120,0.93
20031121,0.92
20031124,0.94
20031125,0.93
20031126,0.92
20031127,
20031128,0.91
20031201,0.93
20031202,0.92
20031203,0.92
20031204,0.91
20031205,0.9
20031208,0.91
20031209,0.91
20031210,0.91
20031211,0.88
20031212,0.89
20031215,0.89
20031216,0.89
20031217,0.88
20031218,0.87
20031219,0.86
20031222,0.89
20031223,0.88
20031224,0.88
20031225,
20031226,0.85
20031229,0.89
20031230,0.92
20031231,0.93
20040101,
20040102,0.91
20040105,0.9
20040106,0.9
20040107,0.89
20040108,0.86
20040109,0.85
20040112,0.88
20040113,0.87
20040114,0.86
20040115,0.86
20040116,0.87
20040119,
20040120,0.88
20040121,0.87
20040122,0.86
20040123,0.88
20040126,0.89
20040127,0.89
20040128,0.92
20040129,0.92
20040130,0.9
20040202,0.93
20040203,0.92
20040204,0.92
20040205,0.92
20040206,0.91
20040209,0.93
20040210,0.93
20040211,0.91
20040212,0.91
20040213,0.9
20040216,
20040217,0.93
20040218,0.92
20040219,0.92
20040220,0.92
20040223,0.95
20040224,0.95
20040225,0.94
20040226,0.94
20040227,0.94
20040301,0.95
20040302,0.95
20040303,0.95
20040304,0.94
20040305,0.93
20040308,0.95
20040309,0.94
20040310,0.94
20040311,0.95
20040312,0.94
20040315,0.95
20040316,0.94
20040317,0.92
20040318,0.92
20040319,0.92
20040322,0.94
20040323,0.93
20040324,0.92
20040325,0.92
20040326,0.93
20040329,0.95
20040330,0.94
20040331,0.93
20040401,0.92
20040402,0.93
20040405,0.93
20040406,0.92
20040407,0.93
20040408,0.92
20040409,
20040412,0.93
20040413,0.93
20040414,0.94
20040415,0.93
20040416,0.92
20040419,0.95
20040420,0.96
20040421,0.98
20040422,0.95
20040423,0.96
20040426,0.98
20040427,0.97
20040428,0.96
20040429,0.95
20040430,0.96
20040503,0.99
20040504,0.99
20040505,0.97
20040506,0.98
20040507,1.05
20040510,1.07
20040511,1.04
20040512,1.02
20040513,0.98
20040514,0.97
20040517,1.05
20040518,1.04
20040519,1.02
20040520,1.01
20040521,1.01
20040524,1.06
20040525,1.06
20040526,1.06
20040527,1.04
20040528,1.06
20040531,
20040601,1.15
20040602,1.15
20040603,1.15
20040604,1.18
20040607,1.23
20040608,1.25
20040609,1.25
20040610,1.27
20040611,
20040614,1.4
20040615,1.32
20040616,1.28
20040617,1.25
20040618,1.26
20040621,1.32
20040622,1.3
20040623,1.27
20040624,1.26
20040625,1.28
20040628,1.36
20040629,1.36
20040630,1.31
20040701,1.2
20040702,1.27
20040705,
20040706,1.32
20040707,1.28
20040708,1.25
20040709,1.25
20040712,1.32
20040713,1.32
20040714,1.32
20040715,1.32
20040716,1.32
20040719,1.33
20040720,1.34
20040721,1.33
20040722,1.34
20040723,1.35
20040726,1.43
20040727,1.44
20040728,1.43
20040729,1.42
20040730,1.42
20040802,1.48
20040803,1.46
20040804,1.46
20040805,1.45
20040806,1.41
20040809,1.49
20040810,1.48
20040811,1.42
20040812,1.41
20040813,1.41
20040816,1.47
20040817,1.46
20040818,1.46
20040819,1.45
20040820,1.46
20040823,1.52
20040824,1.52
20040825,1.52
20040826,1.52
20040827,1.53
20040830,1.59
20040831,1.57
20040901,1.55
20040902,1.57
20040903,1.62
20040906,
20040907,1.64
20040908,1.62
20040909,1.61
20040910,1.63
20040913,1.64
20040914,1.63
20040915,1.64
20040916,1.64
20040917,1.68
20040920,1.7
20040921,1.69
20040922,1.68
20040923,1.69
20040924,1.7
20040927,1.72
20040928,1.69
20040929,1.69
20040930,1.68
20041001,1.67
20041004,1.69
20041005,1.68
20041006,1.68
20041007,1.67
20041008,1.67
20041011,
20041012,1.69
20041013,1.69
20041014,1.71
20041015,1.72
20041018,1.78
20041019,1.79
20041020,1.79
20041021,1.81
20041022,1.81
20041025,1.87
20041026,1.88
20041027,1.88
20041028,1.87
20041029,1.87
20041101,1.96
20041102,1.94
20041103,1.92
20041104,1.94
20041105,1.99
20041108,2.04
20041109,2.04
20041110,2.04
20041111,
20041112,2.04
20041115,2.09
20041116,2.1
20041117,2.09
20041118,2.09
20041119,2.1
20041122,2.16
20041123,2.15
20041124,2.14
20041125,
20041126,2.16
20041129,2.2
20041130,2.19
20041201,2.18
20041202,2.18
20041203,2.17
20041206,2.22
20041207,2.21
20041208,2.2
20041209,2.2
20041210,2.21
20041213,2.21
20041214,2.18
20041215,2.17
20041216,2.16
20041217,2.16
20041220,2.19
20041221,2.17
20041222,2.15
20041223,2.15
20041224,
20041227,2.24
20041228,2.22
20041229,2.19
20041230,2.18
20041231,2.18
20050103,2.29
20050104,2.3
20050105,2.29
20050106,2.27
20050107,2.28
20050110,2.33
20050111,2.31
20050112,2.3
20050113,2.31
20050114,2.32
20050117,
20050118,2.36
20050119,2.33
20050120,2.31
20050121,2.31
20050124,2.34
20050125,2.36
20050126,2.37
20050127,2.4
20050128,2.41
20050131,2.48
20050201,2.47
20050202,2.47
20050203,2.44
20050204,2.43
20050207,2.48
20050208,2.48
20050209,2.47
20050210,2.47
20050211,2.5
20050214,2.55
20050215,2.55
20050216,2.53
20050217,2.53
20050218,2.56
20050221,
20050222,2.63
20050223,2.63
20050224,2.64
20050225,2.69
20050228,2.72
20050301,2.7
20050302,2.68
20050303,2.7
20050304,2.7
20050307,2.71
20050308,2.7
20050309,2.7
20050310,2.69
20050311,2.7
20050314,2.75
20050315,2.75
20050316,2.74
20050317,2.73
20050318,2.75
20050321,2.8
20050322,2.83
20050323,2.77
20050324,2.78
20050325,
20050328,2.79
20050329,2.78
20050330,2.77
20050331,2.73
20050401,2.74
20050404,2.75
20050405,2.74
20050406,2.71
20050407,2.71
20050408,2.73
20050411,2.71
20050412,2.71
20050413,2.72
20050414,2.72
20050415,2.73
20050418,2.85
20050419,2.85
20050420,2.81
20050421,2.82
20050422,2.87
20050425,2.88
20050426,2.86
20050427,2.83
20050428,2.82
20050429,2.84
20050502,2.88
20050503,2.85
20050504,2.81
20050505,2.75
20050506,2.8
20050509,2.86
20050510,2.84
20050511,2.81
20050512,2.82
20050513,2.76
20050516,2.84
20050517,2.82
20050518,2.8
20050519,2.81
20050520,2.83
20050523,2.91
20050524,2.88
20050525,2.89
20050526,2.88
20050527,2.9
20050530,
20050531,2.93
20050601,2.91
20050602,2.91
20050603,2.94
20050606,2.96
20050607,2.96
20050608,2.96
20050609,2.93
20050610,2.94
20050613,2.97
20050614,2.95
20050615,2.94
20050616,2.91
20050617,2.92
20050620,2.96
20050621,2.96
20050622,2.97
20050623,3
20050624,3.02
20050627,3.09
20050628,3.08
20050629,3.06
20050630,3.06
20050701,3.1
20050704,
20050705,3.15
20050706,3.12
20050707,3.08
20050708,3.1
20050711,3.13
20050712,3.14
20050713,3.15
20050714,3.16
20050715,3.18
20050718,3.23
20050719,3.24
20050720,3.23
20050721,3.27
20050722,3.3
20050725,3.37
20050726,3.36
20050727,3.33
20050728,3.33
20050729,3.34
20050801,3.41
20050802,3.41
20050803,3.38
20050804,3.39
20050805,3.44
20050808,3.47
20050809,3.44
20050810,3.43
20050811,3.43
20050812,3.44
20050815,3.47
20050816,3.46
20050817,3.44
20050818,3.42
20050819,3.44
20050822,3.46
20050823,3.46
20050824,3.45
20050825,3.46
20050826,3.47
20050829,3.47
20050830,3.46
20050831,3.44
20050901,3.4
20050902,3.38
20050905,
20050906,3.45
20050907,3.41
20050908,3.4
20050909,3.41
20050912,3.44
20050913,3.4
20050914,3.35
20050915,3.37
20050916,3.42
20050919,3.51
20050920,3.54
20050921,3.34
20050922,3.39
20050923,3.4
20050926,3.46
20050927,3.42
20050928,3.39
20050929,3.46
20050930,3.47
20051003,3.54
20051004,3.55
20051005,3.5
20051006,3.52
20051007,3.54
20051010,
20051011,3.65
20051012,3.62
20051013,3.66
20051014,3.69
20051017,3.78
20051018,3.77
20051019,3.77
20051020,3.76
20051021,3.77
20051024,3.84
20051025,3.84
20051026,3.81
20051027,3.79
20051028,3.83
20051031,3.89
20051101,3.87
20051102,3.85
20051103,3.85
20051104,3.88
20051107,3.87
20051108,3.87
20051109,3.9
20051110,3.88
20051111,
20051114,3.93
20051115,3.92
20051116,3.91
20051117,3.92
20051118,3.91
20051121,3.91
20051122,3.84
20051123,3.86
20051124,
20051125,3.86
20051128,3.89
20051129,3.89
20051130,3.86
20051201,3.88
20051202,3.9
20051205,3.95
20051206,3.95
20051207,3.94
20051208,3.85
20051209,3.85
20051212,3.83
20051213,3.83
20051214,3.81
20051215,3.84
20051216,3.84
20051219,3.89
20051220,3.88
20051221,3.9
20051222,3.89
20051223,3.9
20051226,
20051227,3.9
20051228,3.87
20051229,3.92
20051230,3.99
20060102,
20060103,4.07
20060104,4.09
20060105,4.1
20060106,4.12
20060109,4.14
20060110,4.19
20060111,4.2
20060112,4.22
20060113,4.23
20060116,
20060117,4.28
20060118,4.25
20060119,4.25
20060120,4.25
20060123,4.28
20060124,4.3
20060125,4.32
20060126,4.34
20060127,4.34
20060130,4.38
20060131,4.37
20060201,4.37
20060202,4.37
20060203,4.37
20060206,4.38
20060207,4.39
20060208,4.4
20060209,4.41
20060210,4.42
20060213,4.45
20060214,4.45
20060215,4.44
20060216,4.44
20060217,4.43
20060220,
20060221,4.46
20060222,4.46
20060223,4.48
20060224,4.49
20060227,4.51
20060228,4.51
20060301,4.49
20060302,4.5
20060303,4.5
20060306,4.49
20060307,4.49
20060308,4.47
20060309,4.48
20060310,4.5
20060313,4.5
20060314,4.48
20060315,4.51
20060316,4.5
20060317,4.52
20060320,4.55
20060321,4.57
20060322,4.57
20060323,4.55
20060324,4.54
20060327,4.51
20060328,4.53
20060329,4.51
20060330,4.5
20060331,4.52
20060403,4.55
20060404,4.56
20060405,4.55
20060406,4.56
20060407,4.57
20060410,4.58
20060411,4.58
20060412,4.58
20060413,4.58
20060414,
20060417,4.61
20060418,4.61
20060419,4.61
20060420,4.61
20060421,4.63
20060424,4.64
20060425,4.67
20060426,4.67
20060427,4.66
20060428,4.65
20060501,4.7
20060502,4.69
20060503,4.7
20060504,4.68
20060505,4.7
20060508,4.75
20060509,4.76
20060510,4.76
20060511,4.7
20060512,4.72
20060515,4.74
20060516,4.71
20060517,4.71
20060518,4.71
20060519,4.7
20060522,4.71
20060523,4.72
20060524,4.7
20060525,4.7
20060526,4.72
20060529,
20060530,4.72
20060531,4.74
20060601,4.71
20060602,4.69
20060605,4.73
20060606,4.74
20060607,4.74
20060608,4.74
20060609,4.75
20060612,4.81
20060613,4.77
20060614,4.77
20060615,4.72
20060616,4.75
20060619,4.81
20060620,4.8
20060621,4.79
20060622,4.79
20060623,4.84
20060626,4.91
20060627,4.92
20060628,4.88
20060629,4.88
20060630,4.87
20060703,4.96
20060704,
20060705,4.88
20060706,4.87
20060707,4.89
20060710,4.93
20060711,4.92
20060712,4.93
20060713,4.92
20060714,4.93
20060717,4.98
20060718,5
20060719,4.98
20060720,4.95
20060721,4.96
20060724,4.97
20060725,5
20060726,4.98
20060727,4.97
20060728,4.94
20060731,4.97
20060801,4.99
20060802,4.97
20060803,4.98
20060804,4.96
20060807,4.99
20060808,4.97
20060809,4.94
20060810,4.92
20060811,4.94
20060814,4.99
20060815,4.97
20060816,4.94
20060817,4.96
20060818,4.97
20060821,4.98
20060822,4.97
20060823,4.96
20060824,4.96
20060825,4.98
20060828,4.97
20060829,4.94
20060830,4.92
20060831,4.92
20060901,4.89
20060904,
20060905,4.87
20060906,4.84
20060907,4.84
20060908,4.8
20060911,4.81
20060912,4.78
20060913,4.79
20060914,4.82
20060915,4.83
20060918,4.82
20060919,4.82
20060920,4.81
20060921,4.79
20060922,4.8
20060925,4.76
20060926,4.76
20060927,4.76
20060928,4.75
20060929,4.77
20061002,4.76
20061003,4.78
20061004,4.8
20061005,4.81
20061006,4.82
20061009,
20061010,4.87
20061011,4.89
20061012,4.93
20061013,4.92
20061016,4.96
20061017,4.96
20061018,4.96
20061019,4.97
20061020,4.96
20061023,4.99
20061024,5
20061025,4.99
20061026,4.99
20061027,4.98
20061030,4.97
20061031,4.95
20061101,4.94
20061102,4.94
20061103,4.96
20061106,4.96
20061107,4.95
20061108,4.97
20061109,4.96
20061110,4.97
20061113,4.96
20061114,4.96
20061115,4.96
20061116,4.96
20061117,4.96
20061120,4.95
20061121,4.94
20061122,4.92
20061123,
20061124,4.91
20061127,4.92
20061128,4.91
20061129,4.91
20061130,4.9
20061201,4.9
20061204,4.88
20061205,4.86
20061206,4.86
20061207,4.85
20061208,4.84
20061211,4.81
20061212,4.81
20061213,4.82
20061214,4.83
20061215,4.79
20061218,4.84
20061219,4.84
20061220,4.84
20061221,4.84
20061222,4.86
20061225,
20061226,4.87
20061227,4.85
20061228,4.87
20061229,4.89
20070101,
20070102,4.94
20070103,4.92
20070104,4.91
20070105,4.92
20070108,4.95
20070109,4.95
20070110,4.96
20070111,4.98
20070112,4.96
20070115,
20070116,4.98
20070117,4.99
20070118,4.99
20070119,5.01
20070122,5
20070123,5.01
20070124,5
20070125,5.01
20070126,5
20070129,5.01
20070130,5
20070131,4.99
20070201,5
20070202,5.01
20070205,5.02
20070206,5.01
20070207,5.02
20070208,5.03
20070209,5.02
20070212,5.04
20070213,5.03
20070214,5.02
20070215,5.03
20070216,5.04
20070219,
20070220,5.05
20070221,5.04
20070222,5.05
20070223,5.05
20070226,5.05
20070227,4.99
20070228,5.01
20070301,5
20070302,4.98
20070305,4.97
20070306,4.99
20070307,4.97
20070308,4.95
20070309,4.96
20070312,4.96
20070313,4.94
20070314,4.92
20070315,4.91
20070316,4.9
20070319,4.93
20070320,4.92
20070321,4.91
20070322,4.92
20070323,4.94
20070326,4.93
20070327,4.93
20070328,4.92
20070329,4.91
20070330,4.9
20070402,4.91
20070403,4.91
20070404,4.92
20070405,4.9
20070406,4.91
20070409,4.89
20070410,4.89
20070411,4.9
20070412,4.89
20070413,4.88
20070416,4.88
20070417,4.87
20070418,4.86
20070419,4.85
20070420,4.85
20070423,4.85
20070424,4.84
20070425,4.83
20070426,4.82
20070427,4.81
20070430,4.79
20070501,4.76
20070502,4.77
20070503,4.76
20070504,4.76
20070507,4.77
20070508,4.76
20070509,4.74
20070510,4.73
20070511,4.73
20070514,4.73
20070515,4.7
20070516,4.62
20070517,4.68
20070518,4.7
20070521,4.76
20070522,4.79
20070523,4.77
20070524,4.77
20070525,4.75
20070528,
20070529,4.76
20070530,4.71
20070531,4.6
20070601,4.66
20070604,4.68
20070605,4.7
20070606,4.67
20070607,4.67
20070608,4.64
20070611,4.6
20070612,4.59
20070613,4.53
20070614,4.52
20070615,4.43
20070618,4.51
20070619,4.52
20070620,4.61
20070621,4.57
20070622,4.59
20070625,4.69
20070626,4.69
20070627,4.64
20070628,4.64
20070629,4.68
20070702,4.81
20070703,4.81
20070704,
20070705,4.81
20070706,4.81
20070709,4.83
20070710,4.81
20070711,4.81
20070712,4.83
20070713,4.83
20070716,4.84
20070717,4.82
20070718,4.82
20070719,4.84
20070720,4.83
20070723,4.88
20070724,4.88
20070725,4.85
20070726,4.78
20070727,4.72
20070730,4.82
20070731,4.82
20070801,4.75
20070802,4.75
20070803,4.72
20070806,4.74
20070807,4.8
20070808,4.81
20070809,4.67
20070810,4.44
20070813,4.61
20070814,4.51
20070815,4.1
20070816,3.69
20070817,3.65
20070820,3.08
20070821,3.51
20070822,3.58
20070823,3.79
20070824,4.13
20070827,4.5
20070828,4.28
20070829,3.88
20070830,3.74
20070831,3.91
20070903,
20070904,4.35
20070905,4.24
20070906,4.18
20070907,3.96
20070910,3.86
20070911,4
20070912,3.93
20070913,3.97
20070914,3.9
20070917,4.05
20070918,3.91
20070919,3.83
20070920,3.69
20070921,3.64
20070924,3.76
20070925,3.7
20070926,3.64
20070927,3.62
20070928,3.72
20071001,3.83
20071002,3.86
20071003,3.86
20071004,3.85
20071005,3.89
20071008,
20071009,3.96
20071010,3.95
20071011,4.01
20071012,4.09
20071015,4.19
20071016,4.14
20071017,3.91
20071018,3.66
20071019,3.75
20071022,3.9
20071023,3.88
20071024,3.75
20071025,3.84
